packet_id,src,dest,created,delivered,latency,hops
186,50,25,186.0,223.0,37.0,36
197,50,14,197.0,224.0,27.0,29
204,25,40,204.0,224.0,20.0,20
210,32,39,210.0,225.0,15.0,14
180,2,36,180.0,228.0,48.0,47
192,21,53,192.0,229.0,37.0,39
166,45,27,166.0,229.0,63.0,63
222,0,52,222.0,230.0,8.0,9
211,41,57,211.0,231.0,20.0,19
158,28,14,158.0,231.0,73.0,73
198,50,20,198.0,233.0,35.0,35
226,4,0,226.0,233.0,7.0,7
191,16,28,191.0,234.0,43.0,43
202,48,15,202.0,236.0,34.0,34
219,51,52,219.0,237.0,18.0,18
196,58,30,196.0,238.0,42.0,41
184,0,45,184.0,239.0,55.0,54
181,49,39,181.0,239.0,58.0,57
200,26,1,200.0,240.0,40.0,42
185,0,45,185.0,241.0,56.0,56
237,10,6,237.0,243.0,6.0,5
187,2,39,187.0,243.0,56.0,56
240,32,37,240.0,247.0,7.0,6
218,31,49,218.0,247.0,29.0,29
206,6,18,206.0,247.0,41.0,43
214,7,32,214.0,251.0,37.0,36
203,0,27,203.0,251.0,48.0,50
217,42,8,217.0,251.0,34.0,35
208,33,15,208.0,252.0,44.0,47
201,37,33,201.0,254.0,53.0,57
212,47,24,212.0,255.0,43.0,44
232,4,12,232.0,257.0,25.0,25
205,4,33,205.0,259.0,54.0,60
250,18,23,250.0,260.0,10.0,10
241,6,27,241.0,266.0,25.0,24
261,57,54,261.0,266.0,5.0,4
215,1,26,215.0,267.0,52.0,54
239,33,0,239.0,267.0,28.0,28
245,44,5,245.0,268.0,23.0,26
249,48,4,249.0,272.0,23.0,25
270,48,50,270.0,274.0,4.0,5
247,29,46,247.0,274.0,27.0,26
253,27,40,253.0,275.0,22.0,24
244,27,56,244.0,275.0,31.0,34
246,7,14,246.0,275.0,29.0,28
221,56,30,221.0,276.0,55.0,57
248,35,54,248.0,277.0,29.0,28
207,17,3,207.0,277.0,70.0,71
252,26,48,252.0,277.0,25.0,25
265,29,39,265.0,277.0,12.0,11
254,17,34,254.0,278.0,24.0,24
213,52,48,213.0,279.0,66.0,69
224,38,30,224.0,280.0,56.0,57
223,48,34,223.0,282.0,59.0,61
277,14,7,277.0,286.0,9.0,8
228,44,34,228.0,286.0,58.0,59
272,50,1,272.0,287.0,15.0,14
278,46,53,278.0,287.0,9.0,10
282,31,26,282.0,288.0,6.0,6
251,14,46,251.0,288.0,37.0,37
236,25,18,236.0,289.0,53.0,54
258,27,28,258.0,290.0,32.0,36
275,3,8,275.0,290.0,15.0,14
288,41,42,288.0,291.0,3.0,2
230,9,2,230.0,295.0,65.0,66
242,38,34,242.0,297.0,55.0,57
233,4,46,233.0,300.0,67.0,71
238,56,45,238.0,303.0,65.0,66
235,4,47,235.0,303.0,68.0,70
295,46,51,295.0,304.0,9.0,8
263,10,38,263.0,305.0,42.0,43
286,47,0,286.0,306.0,20.0,20
259,45,31,259.0,308.0,49.0,53
267,3,38,267.0,311.0,44.0,46
266,59,33,266.0,316.0,50.0,51
257,29,20,257.0,316.0,59.0,60
301,10,12,301.0,318.0,17.0,17
256,16,58,256.0,318.0,62.0,63
292,54,9,292.0,319.0,27.0,28
315,44,40,315.0,319.0,4.0,5
271,35,20,271.0,320.0,49.0,48
280,44,18,280.0,320.0,40.0,43
287,48,12,287.0,320.0,33.0,33
319,19,22,319.0,324.0,5.0,4
268,20,56,268.0,324.0,56.0,59
260,23,1,260.0,325.0,65.0,69
322,48,47,322.0,325.0,3.0,2
281,16,44,281.0,325.0,44.0,47
289,29,4,289.0,326.0,37.0,38
302,39,52,302.0,328.0,26.0,28
291,34,58,291.0,330.0,39.0,39
307,8,26,307.0,330.0,23.0,23
285,59,42,285.0,331.0,46.0,48
279,46,35,279.0,333.0,54.0,54
321,30,18,321.0,334.0,13.0,13
284,14,52,284.0,336.0,52.0,53
274,15,59,274.0,337.0,63.0,65
296,52,24,296.0,338.0,42.0,43
332,33,30,332.0,338.0,6.0,6
276,56,51,276.0,338.0,62.0,64
300,11,50,300.0,343.0,43.0,46
293,46,31,293.0,343.0,50.0,50
330,50,55,330.0,344.0,14.0,14
273,21,11,273.0,344.0,71.0,75
340,48,45,340.0,344.0,4.0,4
290,23,18,290.0,347.0,57.0,60
336,1,10,336.0,347.0,11.0,12
303,39,8,303.0,348.0,45.0,46
349,7,6,349.0,352.0,3.0,2
